M.H_b.CO3 Time [a],M.H_b.CO3 CO3 [mol/kg]
0.0,0.00013770356161860815
100.0,0.00013774183428690777
200.0,0.0001383705814087883
300.0,0.0001387516836647955
400.0,0.00013897748070194733
500.0,0.0001391161110124684
600.0,0.00013920638156989358
700.0,0.0001392694084317943
800.0,0.00013931683552675364
900.0,0.00013935498238532932
1000.0,0.00013938716103655322
1100.0,0.00013941549438936863
1200.0,0.00013944112450261587
1300.0,0.0001394646429270404
1400.0,0.00013948641128857955
1500.0,0.00013950669615695992
1600.0,0.00013952570790118165
1700.0,0.00013954367712690885
1800.0,0.00013956046164775163
1900.0,0.00013957599833022919
2000.0,0.0001395905662147288
2100.0,0.00013960432760689104
2200.0,0.00013961748663995202
2300.0,0.00013963022976766856
2400.0,0.00013964271770940882
2500.0,0.00013965495237890451
2600.0,0.00013966699224408137
2700.0,0.000139678846898911
2800.0,0.00013969052393334515
2900.0,0.00013970201225975824
3000.0,0.00013971332464335587
3100.0,0.00013972447526126354
3200.0,0.0001397354628384082
3300.0,0.00013974630001767515
3400.0,0.00013975696975815244
3500.0,0.0001397674896868948
3600.0,0.00013977784788739712
3700.0,0.00013978805718446857
3800.0,0.00013979812747651622
3900.0,0.00013980800785895492
4000.0,0.00013981778628331199
4100.0,0.00013982741104573353
4200.0,0.00013983689350989697
4300.0,0.0001398462509995159
4400.0,0.00013985545555516478
4500.0,0.0001398645325257454
4600.0,0.0001398734776202328
4700.0,0.00013988227865852928
4800.0,0.00013989094903720257
4900.0,0.0001398995058932599
5000.0,0.00013990791539263554
5100.0,0.00013991619655334106
5200.0,0.00013992439020355966
5300.0,0.00013993244334690688
5400.0,0.00013994037686031915
5500.0,0.00013994821545401675
5600.0,0.00013995593879096718
5700.0,0.0001399635562686521
5800.0,0.00013997106477839962
5900.0,0.00013997845193778607
6000.0,0.00013998573974998416
6100.0,0.00013999292576959255
6200.0,0.0001399999969760265
6300.0,0.00014000697039255475
6400.0,0.0001400138445043572
6500.0,0.0001400206151173001
6600.0,0.00014002727076634715
6700.0,0.00014003383189130795
6800.0,0.00014004028750770376
6900.0,0.00014004666612059305
7000.0,0.00014005293943613708
7100.0,0.00014005912988633153
7200.0,0.00014006522589549898
7300.0,0.00014007124600812267
7400.0,0.0001400771729200119
7500.0,0.00014008301957543014
7600.0,0.00014008878746875198
7700.0,0.0001400944676356291
7800.0,0.0001401000610840674
7900.0,0.00014010555841213005
8000.0,0.00014011096773869862
8100.0,0.0001401163071181345
8200.0,0.00014012157143340376
8300.0,0.00014012676502713208
8400.0,0.00014013188899277319
8500.0,0.00014013693954796595
8600.0,0.00014014191269866362
8700.0,0.00014014680901954776
8800.0,0.00014015163734524958
8900.0,0.00014015639424698999
9000.0,0.00014016108521828463
9100.0,0.0001401657071144701
9200.0,0.00014017025945329718
9300.0,0.00014017474354681078
9400.0,0.00014017915467701454
9500.0,0.00014018350263664777
9600.0,0.00014018779692688148
9700.0,0.00014019202955138107
9800.0,0.0001401961923002258
9900.0,0.00014020028953557796
