M.D_b.TA Time [a],M.D_b.TA TA [mol/kg]
0.0,0.002399
100.0,0.002399281948021215
200.0,0.0023993938606034523
300.0,0.0023995040163008823
400.0,0.0023996189710447833
500.0,0.0023997323991844406
600.0,0.002399842284846014
700.0,0.002399946754045345
800.0,0.002400044779324817
900.0,0.002400137027437254
1000.0,0.0024002225947429125
1100.0,0.0024003032004600872
1200.0,0.002400380191543108
1300.0,0.0024004540416150645
1400.0,0.0024005222046137222
1500.0,0.0024005860725037765
1600.0,0.002400646556461921
1700.0,0.0024007048180610334
1800.0,0.002400756596037078
1900.0,0.002400804039828305
2000.0,0.002400849271209227
2100.0,0.002400892273701999
2200.0,0.002400934678609822
2300.0,0.002400976483733923
2400.0,0.002401017692709436
2500.0,0.002401058278927806
2600.0,0.002401098283558569
2700.0,0.002401139244642789
2800.0,0.00240118121039659
2900.0,0.0024012240895631355
3000.0,0.002401267905743544
3100.0,0.0024013126054846915
3200.0,0.002401358252841759
3300.0,0.002401404721184315
3400.0,0.0024014521097743932
3500.0,0.0024014988713436823
3600.0,0.0024015464499235533
3700.0,0.0024015934051962997
3800.0,0.0024016396034583745
3900.0,0.0024016867075529512
4000.0,0.002401734654063599
4100.0,0.002401783504794595
4200.0,0.002401830067125058
4300.0,0.0024018727840683513
4400.0,0.002401913304833516
4500.0,0.0024019517345184815
4600.0,0.0024019880268343822
4700.0,0.002402022291387605
4800.0,0.0024020544821043545
4900.0,0.0024020862037262437
5000.0,0.0024021159568258805
5100.0,0.0024021437019388493
5200.0,0.002402171008988327
5300.0,0.0024021964128176495
5400.0,0.00240221991222155
5500.0,0.002402243037764985
5600.0,0.002402265783686635
5700.0,0.0024022882547780596
5800.0,0.0024023104208395793
5900.0,0.002402333742096975
6000.0,0.0024023583720227965
6100.0,0.0024023841773099836
6200.0,0.0024024126747366216
6300.0,0.0024024413590614108
6400.0,0.002402467947260023
6500.0,0.002402493967879531
6600.0,0.00240251934780127
6700.0,0.002402542781547773
6800.0,0.002402564337698491
6900.0,0.002402585547730347
7000.0,0.002402606405579193
7100.0,0.0024026254910743563
7200.0,0.0024026427653598267
7300.0,0.0024026597587351807
7400.0,0.002402676464080719
7500.0,0.0024026929206759197
7600.0,0.0024027091955870126
7700.0,0.002402725257984721
7800.0,0.002402742567417869
7900.0,0.002402762781590141
8000.0,0.0024027832975555496
8100.0,0.0024028018294214846
8200.0,0.0024028199220862143
8300.0,0.0024028375770252007
8400.0,0.0024028548808925844
8500.0,0.0024028703840774522
8600.0,0.0024028840853540273
8700.0,0.0024028975954023253
8800.0,0.002402910907030365
8900.0,0.0024029239843994265
9000.0,0.0024029368285649316
9100.0,0.00240294948060265
9200.0,0.0024029620094793763
9300.0,0.002402974419727839
9400.0,0.0024029882133865506
9500.0,0.0024030034031441083
9600.0,0.0024030198827839017
9700.0,0.00240303781991759
9800.0,0.0024030555419323816
9900.0,0.0024030745277389466
10000.0,0.002403094829476336
10100.0,0.0024031163821964783
10200.0,0.002403139283453479
10300.0,0.0024031618581265655
10400.0,0.0024031856604734567
10500.0,0.0024032092054956295
10600.0,0.002403232346573108
10700.0,0.0024032567560890476
10800.0,0.0024032823213699446
10900.0,0.0024033076379716346
11000.0,0.002403332525486655
11100.0,0.0024033586535101787
11200.0,0.0024033828680196817
11300.0,0.002403405105028126
11400.0,0.0024034269793074305
11500.0,0.0024034485252650986
11600.0,0.0024034666309900423
11700.0,0.0024034812106089585
11800.0,0.0024034955996300954
11900.0,0.0024035097804441046
12000.0,0.0024035237502278758
